,node_key,live,geometry,longitude,latitude
33,506087,True,POINT (455178.59375 300664.59375),-1.1867346655418856,52.60097691803721
34,506085,True,POINT (455191.03125 300531.59375),-1.186573188163825,52.59978013818658
35,605003,True,POINT (455170.21875 300750),-1.1868440946742775,52.60174547202943
36,605005,True,POINT (455130.3125 300742.0625),-1.1874345665820254,52.6016781647687
37,506090,True,POINT (455171.625 300752),-1.1868230008140583,52.60176330727692
38,506091,True,POINT (455167.4375 300790.40625),-1.186878431623381,52.60210896018015
39,1793735582,True,POINT (455250 300714.28125),-1.1856722050113484,52.60141631168927
40,605012,True,POINT (455164.71875 300792.8125),-1.186918169554807,52.60213086508718
41,605006,True,POINT (455128.5625 300743.15625),-1.1874602206224905,52.60168817352238
42,1793735581,True,POINT (455257.875 300687.53125),-1.1855604025972517,52.60117506047587
43,1793735564,True,POINT (455270.0625 300706.4375),-1.185377324252583,52.60134376924967
44,605025,True,POINT (454980.46875 301769.125),-1.1894763969230788,52.6109254416154
45,17136578,True,POINT (455482.25 300556.15625),-1.182269895671211,52.59997133338678
46,620028672,True,POINT (455483.1875 300558.3125),-1.1822556947342513,52.599990620091354
47,4523838109,True,POINT (455499.59375 300506.21875),-1.1820222124618744,52.59952068486867
48,605007,True,POINT (455115.90625 300776.03125),-1.1876416043123164,52.6019849637691
49,18668102,True,POINT (455050.875 300757.0625),-1.1886048420392779,52.60182103484158
50,605009,True,POINT (455116.625 300778.53125),-1.1876305774315243,52.602007363183816
51,17473157,True,POINT (455019.9375 300760.0625),-1.189061087869167,52.60185112840407
52,4180901395,True,POINT (455094.125 301045.78125),-1.1879183404181766,52.60441191473422
53,1834790741,True,POINT (454948.78125 300769.78125),-1.1901099885342414,52.60194567432296
54,18668241,True,POINT (455064.53125 301173.40625),-1.188334070040905,52.605562112355294
55,4180901391,True,POINT (455045.625 301155.28125),-1.188616224972378,52.60540110104658
56,256333058,True,POINT (454969.4375 301765.5),-1.1896398912040194,52.61089397110472
57,256074880,True,POINT (455013 302084.5),-1.1889436598746008,52.61375701482208
58,472630837,True,POINT (455016.78125 302392.5625),-1.1888366581494922,52.616525760229315
59,256074883,True,POINT (454994.6875 302086.375),-1.1892137775170362,52.61377571955331
60,605059,True,POINT (454987.71875 303991.40625),-1.189000338323395,52.63090044415518
61,255137930,True,POINT (454993.25 303998.40625),-1.188917460836111,52.630962806749594
62,605066,True,POINT (454996.625 303958.1875),-1.1888742842981022,52.630600946169835
63,605074,True,POINT (454944.8125 303970.5625),-1.1896376621213094,52.63071741901631
64,14616993,True,POINT (454927.46875 304255.9375),-1.1898465197431445,52.6332843570199
65,605060,True,POINT (455015.59375 304004.1875),-1.188586410296179,52.63101251395059
66,1079377512,True,POINT (454672.9375 303811.03125),-1.193680469609955,52.62931081284269
67,255137515,True,POINT (454923.8125 304257.375),-1.1899002986810243,52.6332976476828
68,605061,True,POINT (455021.78125 304001.90625),-1.1884953800416802,52.63099138233746
69,14616990,True,POINT (454955 304265.0625),-1.1894382570555782,52.63336359899214
70,605078,True,POINT (455094.1875 304015),-1.1874235251957388,52.631101750716226
71,255138297,True,POINT (455035.15625 303976.6875),-1.188301981435784,52.630763342312825
72,251450800,True,POINT (455519.375 304046.5),-1.181136834907453,52.63134166534922
73,605064,True,POINT (455032.09375 303967.28125),-1.188348788305904,52.630679101025535
74,420274334,True,POINT (455507.5625 304121.34375),-1.1812987917510946,52.632015627037234
75,251450804,True,POINT (455489.5 303979.3125),-1.1815894533747608,52.63074077829203
76,251929893,True,POINT (455630.0625 304065.75),-1.1794983758388304,52.631503390449005
77,255138295,True,POINT (455035.9375 303895.96875),-1.1883038622218909,52.630037696511764
78,4545644049,True,POINT (455004.09375 303955.0625),-1.1887644669317212,52.630572100898654
79,256083036,True,POINT (455001.59375 303070),-1.1889484473883596,52.62261667507529
80,256075197,True,POINT (455073 302589.03125),-1.1879737316831622,52.61828610110715
81,1079377534,True,POINT (454693.53125 303781.28125),-1.1933811601325177,52.629041324721165
82,4545644141,True,POINT (454510.65625 303722.375),-1.1960924028671567,52.628530181444894
83,1079380670,True,POINT (454945.34375 303844.0625),-1.189650813936862,52.6295802785066
84,420274338,True,POINT (455660.71875 304148.09375),-1.1790316297697567,52.63224042587459
85,420274335,True,POINT (455344.21875 304092.875),-1.1837167233949373,52.63177637187611
86,251450810,True,POINT (455434.1875 303665.09375),-1.1824592180935505,52.62792196426898
87,392641321,True,POINT (455155.625 303920.78125),-1.1865315935443832,52.630248608878226
88,1767679803,True,POINT (455662.71875 304001.03125),-1.1790268175924512,52.630918305373385
89,1767679826,True,POINT (455752.53125 304116.84375),-1.1776804907401814,52.63195012243986
90,605093,True,POINT (454453.75 303694.59375),-1.196937617586214,52.628286159252966
91,744538474,True,POINT (454489 303711.75),-1.19641406764705,52.62843684455538
92,605095,True,POINT (454177.21875 303549.71875),-1.2010463519158945,52.627011508275594
93,2172398139,True,POINT (454490.875 303678.78125),-1.1963917964993271,52.628140305709564
94,1079398333,True,POINT (454469.53125 303790.09375),-1.1966887762934564,52.62914301420577
95,538537889,True,POINT (454147.6875 303531.125),-1.2014856273983985,52.626847311699265
96,324695122,True,POINT (454256.09375 303505.65625),-1.1998884358491169,52.62660757636878
97,373478687,True,POINT (453989.65625 303675.6875),-1.203796473377506,52.62816247005483
98,1079382419,True,POINT (454500.8125 303669.4375),-1.1962465350003195,52.62805532068597
99,1079398371,True,POINT (454660.28125 303853.75),-1.1938603820625235,52.629696076689676
100,320963148,True,POINT (454032.90625 303490.96875),-1.2031877189182592,52.626497764563474
101,538537891,True,POINT (454115.25 303227.5),-1.2020144184922512,52.62412129562363
102,528852742,True,POINT (454347.96875 303473.59375),-1.198536539517668,52.62631020096793
103,538537890,True,POINT (454191.65625 303215.3125),-1.2008878180746951,52.62400413915372
104,373478693,True,POINT (453951.96875 303630.5625),-1.2043605608237329,52.627760586440154
105,251070781,True,POINT (453668.375 303909.46875),-1.2085046528929348,52.63029568944814
